"TreeID","WinterYear","TotalNuts","TotalNuts_T1","z_temp_meanMax_4It_T1","z_temp_meanMax_4It_T2","z_temp_meanMean_4It_T0","z_prec_4It_T1","z_prec_4It_T2","z_prec_4It_T0","ord_year"
"842",1976,940,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"843",1976,416,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"844",1976,540,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"849",1976,300,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"850",1976,632,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"851",1976,296,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"852",1976,584,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"853",1976,388,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"875",1976,12,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"876",1976,244,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"877",1976,52,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"878",1976,100,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"879",1976,1196,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"880",1976,1560,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"884",1976,528,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"887",1976,284,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"888",1976,132,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"891",1976,88,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"892",1976,140,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"893",1976,536,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"894",1976,80,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"895",1976,512,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"896",1976,20,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
"897",1976,28,NA,0.00964391343012112,0.296022161904181,2.22045002244295,-0.460708811514782,0.277515803403298,-0.741939512797573,1
